ID Respondent,Course/Strand,Gaming_Frequency,Gaming_Platforms,Weekly_Gaming_Hours,Played_Games,Preferred_Game_Type,Preferred_Genres,Monthly_Gaming_Budget
1,Bachelor of Science in Computer Science,Daily,"PC,Console",10-20 hours,"Minecraft,Overwatch,Smash Bros: Ultimate,Roblox",,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Fighting",None.
2,Bachelor in Multimedia Arts Major in Animation,Daily,"PC,Console,Mobile",5-10 hours,"Valorant,Mobile Legends: Bang Bang,Genshin Impact,Honkai: Star Rail  ",,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS),Puzzle",None.
3,Fine Arts Major in Visual Communication,4-6 times a week,"PC,Mobile",Less than 5 hours,"Mobile Legends: Bang Bang,Genshin Impact",,"Action/Adventure,Role-playing (RPG),Strategy",None.
4,Bachelor of Science in Computer Science,Daily,"PC,Console",10-20 hours,"Minecraft,Overwatch,Smash Bros: Ultimate,Roblox",,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS)",None.
5,Bachelor of Science in Computer Science,Daily,PC,More than 20 hours,"Valorant,League of Legends,Minecraft,Honkai: Star Rail,Genshin Impact",,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Puzzle",None.
6,Bachelor of Science in Computer Science,Daily,"PC,Mobile",Less than 5 hours,"Minecraft,Genshin Impact,Among Us,Terraria",Singleplayer,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS)",1 - 500 Php
7,Bachelor of Science in Entertainment and Multimedia Computing,Daily,"PC,Mobile",10-20 hours,"League of Legends,Minecraft,Tekken,Honkai: Star Rail",Multiplayer,"Action/Adventure,Strategy,Fighting,Competitive",1 - 500 Php
8,Bachelor in Multimedia Arts,Once a week,"PC,Mobile",5-10 hours,"Minecraft,Roblox,Sims,Good Pizza Great Pizza",Singleplayer,"Role-playing (RPG),Strategy,Puzzle,Party Games,Simulation,Management,Casual,Relaxing",500 - 1000 Php
9,Bachelor of Science in Entertainment and Multimedia Computing,Daily,"PC,Mobile",10-20 hours,"Valorant,League of Legends,Genshin Impact",Multiplayer,"Action/Adventure,Role-playing (RPG)",1 - 500 Php
10,Bachelor in Multimedia Arts Major in Animation,Daily,"PC,Mobile",5-10 hours,"Valorant,League of Legends,Minecraft,Overwatch,Fortnite,Roblox,Mobile Legends: Bang Bang,League of Legends: Wild Rift,Honkai: Star Rail,Genshin Impact,Among Us,Fall Guys",Multiplayer,Strategy,500 - 1000 Php
11,Bachelor in Multimedia Arts,Daily,"PC,Virtual Reality (VR)",More than 20 hours,"Mobile Legends: Bang Bang,Honkai: Star Rail,Genshin Impact,Dislyte",Multiplayer,"Action/Adventure,Role-playing (RPG)",1 - 500 Php
12,Fine Arts Major in Visual Communication,2-3 times a week,Mobile,Less than 5 hours,"Mobile Legends: Bang Bang,Genshin Impact",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy",None.
13,Bachelor in Multimedia Arts,4-6 times a week,"PC,Mobile",5-10 hours,"Minecraft,Smash Bros: Ultimate,Tekken,Honkai: Star Rail,Genshin Impact,Jackbox,Among Us,Fall Guys",Multiplayer,"Role-playing (RPG),Strategy,Fighting,Party Games",1 - 500 Php
14,Bachelor in Multimedia Arts,Daily,PC,5-10 hours,"Valorant,League of Legends,Minecraft,APEX Legends",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,Puzzle",1 - 500 Php
15,Bachelor in Multimedia Arts,Rarely or never,Mobile,Less than 5 hours,"Minecraft,Mobile Legends: Bang Bang,Genshin Impact,Among Us,Fall Guys",Multiplayer,Fighting,1 - 500 Php
16,Bachelor of Science in Computer Science,Daily,"PC,Mobile",More than 20 hours,"Minecraft,Overwatch,Warcraft 3",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,Sports,First-person shooter (FPS),Puzzle,Racing,Fighting,Competitive,Party Games,Real-Time Strategy",500 - 1000 Php
17,Bachelor of Science in Nursing,Daily,"PC,Mobile",Less than 5 hours,"Valorant,Genshin Impact",Multiplayer,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS)",1 - 500 Php
18,Bachelor of Science in Computer Science,Daily,"PC,Mobile",5-10 hours,"Valorant,Minecraft,Honkai: Star Rail,Genshin Impact",Singleplayer,"Action/Adventure,Role-playing (RPG)",1 - 500 Php
19,Bachelor of Science in Electrical Engineering,2-3 times a week,PC,5-10 hours,League of Legends,Multiplayer,"Strategy,First-person shooter (FPS),Fighting,Competitive",None.
20,Bachelor of Science in Computer Engineering,4-6 times a week,"PC,Mobile",5-10 hours,"Valorant,League of Legends,Chess",Multiplayer,"Strategy,First-person shooter (FPS),Puzzle,Fighting,Competitive",500 - 1000 Php
21,Media and Visual Arts,2-3 times a week,"PC,Mobile",5-10 hours,"Minecraft,Honkai: Star Rail,Genshin Impact,Terraria ",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,Puzzle,Fighting,Party Games",500 - 1000 Php
22,Bachelor in Multimedia Arts,2-3 times a week,"PC,Console,Mobile",Less than 5 hours,"Valorant,Overwatch,APEX Legends,Smash Bros: Ultimate,Mobile Legends: Bang Bang,Tekken",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Puzzle,Racing,Fighting,Competitive,Party Games",1000 - 5000 Php
23,Bachelor of Science in Entrepreneurship,Daily,"PC,Mobile",More than 20 hours,"Valorant,League of Legends,Minecraft,Roblox,Mobile Legends: Bang Bang,League of Legends: Wild Rift,Genshin Impact",Multiplayer,"Action/Adventure,Role-playing (RPG),Competitive",500 - 1000 Php
24,Bachelor of Science in Entertainment and Multimedia Computing,Daily,PC,5-10 hours,"League of Legends,Single player games",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Racing,Fighting,Competitive,Party Games,Moba (specifically LoL only)",500 - 1000 Php
25,Bachelor in Multimedia Arts,Daily,"PC,Mobile",5-10 hours,"Minecraft,Mobile Legends: Bang Bang,Honkai: Star Rail,Genshin Impact",Multiplayer,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS)",500 - 1000 Php
26,Bachelor of Science in Entertainment and Multimedia Computing,Daily,"PC,Mobile",More than 20 hours,"Valorant,League of Legends,APEX Legends,Honkai: Star Rail,Genshin Impact,Jackbox,Destiny 2 ",Multiplayer,"Action/Adventure,Strategy,First-person shooter (FPS),Competitive",1000 - 5000 Php
27,Bachelor of Science in Entertainment and Multimedia Computing,4-6 times a week,"PC,Mobile",5-10 hours,"Valorant,League of Legends,Minecraft,APEX Legends,Roblox,Dead state: Reanimated",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,Simulation",1 - 500 Php
28,Media and Visual Arts,Daily,PC,Less than 5 hours,"Honkai: Star Rail,Genshin Impact",Singleplayer,"Role-playing (RPG),Puzzle,Fighting",1 - 500 Php
29,Bachelor in Multimedia Arts,Daily,PC,10-20 hours,"Valorant,APEX Legends,Honkai: Star Rail",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Competitive,Party Games",1 - 500 Php
30,Bachelor of Science in Entertainment and Multimedia Computing,Daily,"PC,Virtual Reality (VR)",More than 20 hours,"Minecraft,Honkai: Star Rail,Beat Saber",Singleplayer,"Role-playing (RPG),Strategy",1000 - 5000 Php
31,Bachelor of Science in Entertainment and Multimedia Computing,Daily,"PC,Mobile",More than 20 hours,"Valorant,League of Legends,Minecraft,Overwatch,APEX Legends,Roblox,Tekken,Honkai: Star Rail,Jackbox",Multiplayer,"Action/Adventure,First-person shooter (FPS),Racing,Fighting,Competitive",1000 - 5000 Php
32,Bachelor of Science in Entertainment and Multimedia Computing,Daily,PC,5-10 hours,"Minecraft,Roblox,CS:GO,PlateUp,Golf It!,Don't Starve Together,Monster Hunter",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Puzzle,Racing,Fighting,Competitive,Party Games",1 - 500 Php
33,Bachelor of Science in Computer Science,Daily,"PC,Mobile",More than 20 hours,"Valorant,League of Legends,Minecraft,Tekken,Honkai: Star Rail,Genshin Impact",Multiplayer,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS),Fighting,Competitive,Party Games",1000 - 5000 Php
34,Bachelor of Science in Computer Science,4-6 times a week,PC,Less than 5 hours,"Honkai: Star Rail,The Binding of Isaac: Rebirth",Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy,First-person shooter (FPS),Puzzle",1000 - 5000 Php
35,Bachelor in Multimedia Arts,2-3 times a week,"PC,Mobile",Less than 5 hours,"Valorant,League of Legends,League of Legends: Wild Rift,Genshin Impact",Multiplayer,"Action/Adventure,Strategy,Fighting",500 - 1000 Php
36,Bachelor of Science in Computer Science,2-3 times a week,"PC,Console",5-10 hours,"Roblox,Genshin Impact",Singleplayer,"Action/Adventure,Role-playing (RPG),First-person shooter (FPS)",500 - 1000 Php
37,Bachelor of Science in Computer Science,Daily,Mobile,5-10 hours,Mobile Legends: Bang Bang,Singleplayer,"Action/Adventure,Role-playing (RPG),Strategy",None.
38,Bachelor in Multimedia Arts Major in Animation,Daily,"PC,Console",More than 20 hours,"Minecraft,Smash Bros: Ultimate,Roblox,Among Us,Tears of the Kingdom,Splatoon 3,Stardew Valley,Pokemon series,Hollow Knight",Multiplayer,"Action/Adventure,Role-playing (RPG),Strategy,Fighting,Competitive,Party Games",1 - 500 Php
